,Unnamed: 0,District,Mandal,Village,Latitude,Longitude,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop,ndvi
0,0,Anantapur,Penukonda,Gonipeta,14.08,77.69,Mixed soil,6.19,0.07,0.18,7.13,41,587,101,5.16,0.3,0.17,8.89,0.51,15.24,G.Nut,0.06677919243499911
1,1,Anantapur,Penukonda,Gonipeta,14.09,77.69,Redsoil,8.4,0.33,0.31,10.34,102,811,261,9.91,0.36,0.57,3.24,0.44,6.9,G.Nut,0.07406366741832812
2,2,Anantapur,Penukonda,Gonipeta,14.09,77.69,Mixed soil,7.1,0.11,0.17,8.46,46,582,48,3.77,0.37,0.19,5.54,0.42,8.34,G.Nut,0.07406366741832812
3,3,Anantapur,Penukonda,Gonipeta,14.1,77.7,Sandi soil,8.3,0.21,0.20,2.31,35,3048,52,4.14,0.23,0.21,1.79,0.67,4.17,Horsegram,0.0795181977267257
4,4,Anantapur,Penukonda,Gonipeta,14.09,77.69,Mixed soil,6.4,0.06,0.22,6.08,76,511,84,1.45,0.36,0.22,22.26,0.45,9.2,Horsegram,0.07406366741832812
5,5,Anantapur,Penukonda,Gonipeta,14.09,77.69,Redsoil,7.78,0.14,0.21,5.68,44,1161,71,2.20,0.69,2.38,2.83,0.64,4.41,G.Nut,0.07406366741832812
6,6,Anantapur,Penukonda,Gonipeta,14.09,77.69,Mixed soil,6.3,0.06,0.28,2.08,51,612,122,4.54,0.59,0.28,7.11,0.56,17.07,G.Nut,0.07406366741832812
7,7,Anantapur,Penukonda,Gonipeta,14.09,77.69,Red soil,6.25,0.07,0.31,1.98,42,1016,172,4.20,0.35,0.32,7.29,0.6,17.39,G.Nut,0.07406366741832812
8,8,Anantapur,Penukonda,Gonipeta,14.1,77.7,Black Soil,6.32,0.09,0.16,1.32,62,825,309,2.77,0.23,0.22,4.45,0.58,7.64,G.Nut,0.0795181977267257
9,9,Anantapur,Penukonda,Gonipeta,14.08,77.69,Mixed soil,7.91,0.21,0.25,2.21,60,1977,216,2.89,0.18,0.23,3.23,0.82,5.71,G.Nut,0.06677919243499911
10,10,Anantapur,Penukonda,Gonipeta,14.08,77.69,Sandi soil,7.76,0.2,0.14,2.06,58,1428,102,12.33,0.18,0.19,2.8,0.47,6.81,G.Nut,0.06677919243499911
11,11,Anantapur,Penukonda,Gonipeta,14.08,77.69,Sandi soil,8.2,0.11,0.24,2.14,46,3193,76,2.88,0.12,0.36,2.25,0.56,4.44,G.Nut,0.06677919243499911
12,12,Anantapur,Penukonda,Gonipeta,14.08,77.69,Red soil,6.29,0.09,0.22,1.34,60,799,290,4.63,0.28,0.29,4.94,0.61,10.05,G.Nut,0.06677919243499911
13,13,Anantapur,Penukonda,Gonipeta,14.08,77.69,Sandi soil,8.22,0.13,0.13,1.56,73,2761,75,3.40,0.16,0.32,2.89,0.89,7.55,G.Nut,0.06677919243499911
14,14,Anantapur,Penukonda,Gonipeta,14.08,77.69,Mixed soil,5.66,0.04,0.23,1.32,28,1080,219,4.45,0.25,0.30,11.71,0.7,23.15,G.Nut,0.06677919243499911
15,15,Anantapur,Penukonda,Gonipeta,14.1,77.7,Red soil,6.55,0.05,0.12,3.0,50,724,80,1.91,0.36,0.24,8.78,0.53,5.81,G.Nut,0.0795181977267257
16,16,Anantapur,Penukonda,Gonipeta,14.1,77.69,Mixed soil,6.34,0.08,0.26,2.31,37,819,92,5.05,0.55,0.31,12.0,0.76,29.67,G.Nut,0.07877826108967771
17,17,Anantapur,Penukonda,Gonipeta,14.09,77.69,Black Soil,7.8,0.12,0.31,4.36,53,2473,84,1.75,0.22,0.21,6.02,0.53,10.32,G.Nut,0.07406366741832812
18,18,Anantapur,Penukonda,Gonipeta,14.09,77.69,Red soil,6.97,0.12,0.49,3.45,67,1429,303,5.90,0.37,0.33,8.7,1.57,18.78,G.Nut,0.07406366741832812
19,19,Anantapur,Penukonda,Gonipeta,14.06,77.64,Black Soil,7.45,0.13,0.30,3.78,95,948,78,4.57,0.6,0.23,4.63,0.5,10.34,G.Nut,0.06257596136564725
20,20,Anantapur,Penukonda,Gonipeta,14.06,77.64,Sandi soil,7.17,0.03,0.17,1.41,71,907,84,1.06,0.21,0.18,3.99,0.54,9.22,G.Nut,0.06257596136564725
21,21,Anantapur,Penukonda,Gonipeta,14.06,77.64,Mixed soil,8.25,0.11,0.20,1.49,82,2683,92,3.96,0.25,0.39,2.83,0.63,6.04,G.Nut,0.06257596136564725
22,22,Anantapur,Penukonda,Gonipeta,14.06,77.64,Mixed soil,8.65,0.11,0.15,1.72,62,1658,131,12.31,0.27,0.27,2.96,0.45,6.29,G.Nut,0.06257596136564725
23,23,Anantapur,Penukonda,Gonipeta,14.06,77.64,Red soil,6.8,0.07,0.15,1.46,66,1022,225,8.72,0.22,0.16,9.67,0.78,11.86,G.Nut,0.06257596136564725
24,24,Anantapur,Penukonda,Gonipeta,14.06,77.64,Red soil,6.01,0.08,0.22,3.4,57,318,70,3.75,0.78,0.18,7.12,0.35,13.23,G.Nut,0.06257596136564725
25,25,Anantapur,Penukonda,Gonipeta,14.06,77.65,Red soil,8.4,0.14,0.39,11.51,117,2748,274,3.05,0.32,0.66,2.51,0.82,3.56,G.Nut,0.06522411577608932
26,26,Anantapur,Penukonda,Gonipeta,14.06,77.65,Mixed soil,8.23,0.08,0.24,2.23,112,2179,63,2.06,0.25,0.31,2.47,0.85,5.26,G.Nut,0.06522411577608932
27,27,Anantapur,Penukonda,Gonipeta,14.07,77.65,Red soil,7.03,0.07,0.20,3.29,117,859,128,4.55,0.27,0.26,6.06,0.81,9.03,G.Nut,0.06663675681074602
28,28,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.51,0.18,0.20,6.86,79,1087,167,5.36,0.37,0.48,1.89,0.36,3.29,G.Nut,0.08599963092612659
29,29,Anantapur,Penukonda,Kondampalli,14.13,77.66,Redsoil,5.31,0.06,0.22,2.98,75,394,66,4.67,0.29,0.25,10.26,0.41,14.88,G.Nut,0.08716181740993519
30,30,Anantapur,Penukonda,Kondampalli,14.11,77.65,Redsoil,8.3,0.1,0.26,7.57,89,2276,203,2.77,0.31,0.38,3.72,0.57,2.59,G.Nut,0.0846975455706327
31,31,Anantapur,Penukonda,Kondampalli,14.11,77.65,Redsoil,8.15,0.13,0.32,11.18,96,2561,151,3.60,0.49,0.41,4.06,0.56,4.26,G.Nut,0.0846975455706327
32,32,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.2,0.31,0.36,10.72,86,1965,213,28.03,0.36,0.53,9.02,0.73,8.31,G.Nut,0.08599963092612659
33,33,Anantapur,Penukonda,Kondampalli,14.13,77.65,Redsoil,8.57,0.16,1.41,14.39,93,2642,426,7.75,0.53,1.01,9.1,0.71,2.94,G.Nut,0.08987792994607167
34,34,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,9.02,0.44,0.56,8.78,117,2374,684,23.96,1.05,1.07,9.75,1.32,2.89,G.Nut,0.08599963092612659
35,35,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,7.9,0.19,0.88,19.0,265,1925,444,8.36,0.97,1.13,2.48,1.2,10.55,G.Nut,0.08599963092612659
36,36,Anantapur,Penukonda,Kondampalli,14.11,77.65,Redsoil,8.71,0.35,0.32,3.61,84,1524,542,14.71,0.36,0.86,2.59,0.62,5.99,G.Nut,0.0846975455706327
37,37,Anantapur,Penukonda,Kondampalli,14.11,77.65,Redsoil,7.48,1.59,0.36,7.67,117,1398,244,81.35,0.55,0.43,2.53,0.52,11.4,G.Nut,0.0846975455706327
38,38,Anantapur,Penukonda,Kondampalli,14.11,77.65,Redsoil,5.2,0.09,0.16,16.32,103,166,35,5.03,0.42,0.25,9.67,0.37,8.03,G.Nut,0.0846975455706327
39,39,Anantapur,Penukonda,Kondampalli,14.12,77.64,Redsoil,8.65,0.41,0.70,9.47,76,2380,711,26.26,1.06,1.11,7.15,0.79,3.53,G.Nut,0.07818815084117091
40,40,Anantapur,Penukonda,Kondampalli,14.12,77.64,Redsoil,8.05,0.11,0.19,3.62,53,2915,124,3.44,0.49,0.29,1.34,0.34,1.86,G.Nut,0.07818815084117091
41,41,Anantapur,Penukonda,Kondampalli,14.13,77.65,Redsoil,6.2,0.04,0.15,2.66,76,384,86,2.31,0.29,0.23,4.16,0.51,6.77,G.Nut,0.08987792994607167
42,42,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.01,0.06,0.25,6.79,59,1150,158,2.30,0.28,0.36,4.18,0.48,3.67,G.Nut,0.08599963092612659
43,43,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.5,0.16,0.39,7.22,70,1414,198,6.39,0.6,0.41,6.89,0.41,3.29,G.Nut,0.08599963092612659
44,44,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.2,0.53,0.61,8.55,149,2693,590,38.65,0.58,0.91,7.88,1.0,4.36,G.Nut,0.08599963092612659
45,45,Anantapur,Penukonda,Kondampalli,14.12,77.64,Redsoil,8.82,0.8,0.47,6.75,106,2108,655,83.30,0.29,1.42,5.24,0.74,1.83,G.Nut,0.07818815084117091
46,46,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,6.5,0.05,0.22,4.19,108,517,98,3.02,0.32,0.36,4.74,0.45,5.84,G.Nut,0.08599963092612659
47,47,Anantapur,Penukonda,Kondampalli,14.13,77.65,Redsoil,8.78,0.5,0.48,3.69,123,2244,607,30.73,0.31,1.33,5.39,0.84,1.82,G.Nut,0.08987792994607167
48,48,Anantapur,Penukonda,Kondampalli,14.13,77.65,Redsoil,8.81,0.52,0.50,4.01,129,2619,702,36.22,0.35,1.37,7.25,0.97,1.92,G.Nut,0.08987792994607167
49,49,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.07,0.5,0.91,28.68,140,2129,355,18.47,2.85,1.22,2.33,0.52,4.47,G.Nut,0.08599963092612659
50,50,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.25,0.24,0.66,6.31,116,2894,566,14.70,0.46,1.02,16.77,1.17,4.12,G.Nut,0.08599963092612659
51,51,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.0,0.65,0.41,13.32,89,1740,201,62.96,0.51,0.88,2.88,0.4,8.17,G.Nut,0.08599963092612659
52,52,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.32,0.15,0.49,9.39,145,3009,466,4.64,0.3,0.74,11.14,1.17,3.65,G.Nut,0.08599963092612659
53,53,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.44,0.07,0.17,3.51,37,831,130,2.25,0.13,0.25,3.1,0.2,6.99,G.Nut,0.08599963092612659
54,54,Anantapur,Penukonda,Kondampalli,14.12,77.65,Redsoil,8.22,1.32,0.53,4.74,82,4097,1135,93.97,0.4,1.00,9.41,1.13,1.84,G.Nut,0.08599963092612659
55,55,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,8.35,0.53,0.34,5.15,114,3283,354,40.19,0.5,0.59,27.92,1.87,7.33,G.Nut,0.08599963092612659
56,56,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.19,1.61,0.50,132.06,193,3104,1179,181.16,0.67,0.94,19.59,1.73,9.52,G.Nut,0.07818815084117091
57,57,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,8.15,0.07,0.18,10.31,83,489,63,5.13,0.44,0.29,6.94,0.55,14.91,G.Nut,0.08599963092612659
58,58,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,6.0,0.08,0.08,3.54,43,536,114,4.03,0.19,0.28,6.59,0.47,11.16,G.Nut,0.08599963092612659
59,59,Anantapur,Penukonda,Settipalli,14.11,77.65,Redsoil,8.63,0.17,0.13,2.35,57,3544,133,3.23,0.1,0.41,0.79,0.51,1.8,G.Nut,0.0846975455706327
60,60,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,7.28,0.08,0.27,6.99,53,608,109,4.30,0.86,0.36,3.99,0.52,10.34,G.Nut,0.08599963092612659
61,61,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,8.57,0.22,0.10,2.51,54,3030,118,2.80,0.12,0.32,0.97,0.55,2.45,G.Nut,0.08599963092612659
62,62,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.21,0.12,0.25,7.72,60,926,79,4.69,1.2,0.26,2.75,0.4,7.82,G.Nut,0.07818815084117091
63,63,Anantapur,Penukonda,Settipalli,14.11,77.65,Redsoil,8.32,0.1,0.15,2.48,114,3142,105,2.20,0.16,0.28,3.21,0.87,6.7,G.Nut,0.0846975455706327
64,64,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.21,0.36,0.41,14.95,94,2992,84,30.10,1.13,0.89,2.81,0.55,9.52,G.Nut,0.07818815084117091
65,65,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.2,0.12,0.30,15.16,183,1167,148,3.02,0.47,0.64,1.91,0.33,3.48,G.Nut,0.07818815084117091
66,66,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,7.95,0.09,0.19,4.66,43,820,123,3.26,0.2,0.23,1.45,0.24,3.75,G.Nut,0.08599963092612659
67,67,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,5.62,0.04,0.14,4.39,70,295,78,2.08,0.49,0.17,8.61,0.54,8.11,G.Nut,0.08599963092612659
68,68,Anantapur,Penukonda,Settipalli,14.11,77.65,Redsoil,5.86,0.03,0.14,5.31,44,451,67,1.79,0.27,0.19,8.34,0.38,7.05,G.Nut,0.0846975455706327
69,69,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,5.55,0.05,0.23,9.05,64,243,24,3.90,0.49,0.19,7.98,0.31,5.31,G.Nut,0.08599963092612659
70,70,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,6.18,0.04,0.18,3.13,50,930,124,2.14,0.23,0.20,7.0,0.39,10.49,G.Nut,0.08599963092612659
71,71,Anantapur,Penukonda,Settipalli,14.12,77.65,Redsoil,6.85,0.04,0.13,4.65,58,788,63,1.44,0.2,0.20,4.03,0.36,7.46,G.Nut,0.08599963092612659
72,72,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.35,0.09,0.22,8.34,68,1498,190,2.45,0.27,0.36,2.53,0.52,4.17,G.Nut,0.07818815084117091
73,73,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.4,0.15,0.44,11.41,206,2882,305,6.35,0.36,0.70,2.52,0.43,4.69,G.Nut,0.07818815084117091
74,74,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.56,0.14,0.46,11.54,122,3000,532,3.70,0.43,0.87,7.85,0.89,2.08,G.Nut,0.07818815084117091
75,75,Anantapur,Penukonda,Settipalli,14.12,77.64,Redsoil,8.5,0.14,0.22,3.56,67,2678,455,3.31,0.24,0.54,3.06,0.71,2.35,G.Nut,0.07818815084117091
76,76,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,6.0,0.08,0.19,4.73,80,657,84,5.66,0.26,0.20,13.15,0.92,14.97,Horsegram,0.07406366741832812
77,77,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,7.88,0.2,0.24,2.33,54,2052,92,5.77,0.15,0.41,3.95,0.35,3.42,G.Nut,0.06677919243499911
78,78,Anantapur,Penukonda,Settipalli,14.08,77.69,Mixed soil,6.6,0.2,0.39,2.56,66,1050,239,12.03,0.41,0.33,5.79,0.47,27.19,Horsegram,0.06677919243499911
79,79,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,6.16,0.12,0.73,1.51,62,939,357,3.83,0.24,0.46,11.47,1.31,14.53,G.Nut,0.06677919243499911
80,80,Anantapur,Penukonda,Settipalli,14.08,77.6,Redsoil,8.2,0.23,0.35,2.61,50,3486,144,5.46,0.23,0.45,1.73,0.84,4.94,G.Nut,0.06821623597867847
81,81,Anantapur,Penukonda,Settipalli,14.09,77.7,Redsoil,8.34,0.14,0.20,3.24,60,1528,96,2.01,0.27,0.25,2.34,0.54,2.3,G.Nut,0.07376192540353177
82,82,Anantapur,Penukonda,Settipalli,14.08,77.6,Redsoil,6.02,0.05,0.15,1.28,27,727,157,3.11,0.14,0.24,6.65,0.31,16.95,G.Nut,0.06821623597867847
83,83,Anantapur,Penukonda,Settipalli,14.09,77.7,Redsoil,7.82,0.22,0.43,3.38,63,2322,161,5.58,0.31,0.53,2.27,1.09,9.11,Horsegram,0.07376192540353177
84,84,Anantapur,Penukonda,Settipalli,14.09,77.7,Redsoil,8.37,0.14,0.16,2.14,44,1650,63,2.06,0.14,0.25,1.49,0.4,3.66,Horsegram,0.07376192540353177
85,85,Anantapur,Penukonda,Settipalli,14.08,77.69,Mixed soil,8.62,0.19,0.13,2.0,65,3913,335,3.65,0.17,0.35,1.26,0.6,2.85,G.Nut,0.06677919243499911
86,86,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,8.2,0.13,0.17,3.99,50,1382,104,2.32,0.18,0.29,2.09,0.46,2.67,Horsegram,0.06677919243499911
87,87,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,8.28,0.15,0.11,1.36,23,2474,52,3.31,0.11,0.21,2.01,0.33,1.63,G.Nut,0.07406366741832812
88,88,Anantapur,Penukonda,Settipalli,14.09,77.69,Sandy soil,8.04,0.23,0.45,1.39,55,3003,187,6.66,0.14,0.33,2.93,0.49,6.1,Horsegram,0.07406366741832812
89,89,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,7.27,0.3,0.45,1.18,56,1911,164,9.04,0.2,0.26,6.6,0.8,16.86,G.Nut,0.07406366741832812
90,90,Anantapur,Penukonda,Settipalli,14.09,77.7,Redsoil,8.22,0.22,0.21,1.73,61,3204,202,4.96,0.26,0.27,2.66,0.66,6.66,Horsegram,0.07376192540353177
91,91,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,7.33,0.27,0.29,3.13,53,2277,90,6.78,0.28,0.29,7.3,0.61,13.57,Horsegram,0.07406366741832812
92,92,Anantapur,Penukonda,Settipalli,14.09,77.7,Redsoil,8.3,0.17,0.25,9.22,68,1964,59,2.02,0.46,0.33,3.19,0.53,6.69,Horsegram,0.07376192540353177
93,93,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,5.8,0.06,0.10,6.04,43,462,38,3.97,0.22,0.18,9.72,0.42,13.9,G.Nut,0.07406366741832812
94,94,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,7.28,0.12,0.19,13.05,62,705,65,3.56,0.45,0.23,4.4,0.44,8.16,G.Nut,0.07406366741832812
95,95,Anantapur,Penukonda,Settipalli,14.09,77.7,Redsoil,6.37,0.1,0.13,1.58,60,742,268,3.23,0.29,0.24,4.02,0.7,9.92,Horsegram,0.07376192540353177
96,96,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,6.3,0.09,0.14,1.38,69,655,240,2.54,0.24,0.21,4.49,0.56,8.19,G.Nut,0.07406366741832812
97,97,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,8.54,0.15,0.06,2.02,49,3182,117,3.62,0.15,0.26,2.66,0.36,1.84,Horsegram,0.06677919243499911
98,98,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,8.77,0.24,0.18,3.48,80,2964,157,5.72,0.23,0.52,2.89,0.61,4.28,G.Nut,0.06677919243499911
99,99,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,8.48,0.18,0.33,1.66,29,3458,123,1.89,0.13,0.52,0.85,1.1,3.22,G.Nut,0.06677919243499911
100,100,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,8.44,0.22,0.19,10.47,84,3151,167,12.71,0.21,0.38,2.21,0.78,8.64,Horsegram,0.06677919243499911
101,101,Anantapur,Penukonda,Settipalli,14.09,77.7,Redsoil,6.55,0.11,0.23,1.42,62,766,290,3.22,0.4,0.27,4.82,0.76,10.21,Horsegram,0.07376192540353177
102,102,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,5.35,0.1,0.26,7.03,41,676,88,12.81,0.3,0.26,15.81,0.65,16.98,Horsegram,0.06677919243499911
103,103,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,8.42,0.16,0.08,1.56,87,2785,136,2.01,0.17,0.31,2.52,0.57,3.77,G.Nut,0.06677919243499911
104,104,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,8.75,0.17,0.19,6.0,70,1145,154,4.25,0.34,0.40,8.94,0.56,3.19,G.Nut,0.06677919243499911
105,105,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,8.8,0.24,0.20,3.84,61,2933,165,2.61,0.5,0.34,2.0,0.65,3.54,G.Nut,0.07406366741832812
106,106,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,8.08,0.14,0.11,2.14,52,1069,70,1.73,0.13,0.21,1.68,0.45,8.18,G.Nut,0.07406366741832812
107,107,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,7.91,0.12,0.18,2.49,26,1184,94,1.73,0.13,0.15,2.46,0.32,5.0,G.Nut,0.07406366741832812
108,108,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,6.07,0.05,0.34,1.58,43,799,189,2.32,0.15,0.24,1.51,0.88,4.35,G.Nut,0.07406366741832812
109,109,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,8.38,0.18,0.25,1.87,95,3371,194,3.01,0.24,0.34,7.87,0.47,18.04,G.Nut,0.06677919243499911
110,110,Anantapur,Penukonda,Settipalli,14.09,77.69,Redsoil,8.0,0.2,0.19,5.33,68,1432,67,3.04,0.26,0.19,2.54,0.46,4.56,G.Nut,0.07406366741832812
111,111,Anantapur,Penukonda,Settipalli,14.08,77.6,Redsoil,8.43,0.19,0.36,2.04,37,2630,86,2.12,0.16,0.39,1.16,1.15,3.65,G.Nut,0.06821623597867847
112,112,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,8.3,0.16,0.20,1.27,55,2776,158,2.72,0.16,0.30,1.67,0.94,4.11,G.Nut,0.06677919243499911
113,113,Anantapur,Penukonda,Settipalli,14.08,77.69,Redsoil,8.5,0.2,0.08,1.58,56,2548,150,3.81,0.15,0.28,1.38,0.47,8.08,G.Nut,0.06677919243499911
114,114,Anantapur,Penukonda,Settipalli,14.1,77.7,Redsoil,6.55,0.09,0.27,2.46,35,865,86,3.11,0.36,0.24,9.21,0.69,17.83,G.Nut,0.0795181977267257
115,115,Anantapur,Raptadu,G.Koythapally,14.06,77.55,RED,8.65,0.16,0.29,6.62,94,2298,373,6.34,0.18,0.77,7.82,0.5,3.48,jowar,0.058081115648716576
116,116,Anantapur,Raptadu,G.Koythapally,14.06,77.55,RED,8.7,0.24,0.21,17.71,188,1057,283,24.67,0.16,0.95,2.86,0.52,7.98,cotton,0.058081115648716576
117,117,Anantapur,Raptadu,G.Koythapally,14.06,77.54,RED,6.52,0.06,0.22,8.95,102,371,71,3.21,0.42,0.30,5.92,0.5,9.54,G.Nut,0.05678522347348262
118,119,Anantapur,Raptadu,G.Koythapally,14.06,77.55,RED,8.37,0.16,0.42,15.45,178,1586,460,5.37,0.56,0.80,4.56,0.92,9.3,G.Nut,0.058081115648716576
119,122,Anantapur,Raptadu,G.Koythapally,14.55,77.55,RED,8.73,0.36,0.75,25.12,207,2695,503,15.07,0.54,1.68,10.31,1.92,4.59,G.Nut,0.16390182926682698
120,123,Anantapur,Raptadu,Gandlaparthi,14.53,77.54,RED,8.61,0.2,0.52,3.47,125,2057,256,6.12,0.55,0.85,5.29,0.67,10.45,GROUND NUT,0.1614185225260388
121,124,Anantapur,Raptadu,Gandlaparthi,14.54,77.55,BLACK,8.32,0.14,0.14,2.34,116,939,165,4.48,0.19,0.32,8.02,1.05,12.62,SUNFLOWER,0.1722876289064861
122,125,Anantapur,Raptadu,Gandlaparthi,14.53,77.54,RED,5.95,0.05,0.17,11.11,63,268,19,2.80,0.39,0.28,14.84,0.35,9.98,GROUND NUT,0.1614185225260388
123,126,Anantapur,Raptadu,Gandlaparthi,14.54,77.54,BLACK,8.15,0.11,0.46,4.27,140,2469,254,4.65,0.37,1.06,4.17,0.66,6.5,PADDY,0.1864840315760533
124,127,Anantapur,Raptadu,Gandlaparthi,14.54,77.53,BLACK,7.0,0.04,0.19,1.31,90,1404,140,2.71,0.27,0.39,11.95,1.53,21.7,TAMATO,0.17841196190733272
125,129,Anantapur,Raptadu,Gandlaparthi,14.53,77.54,RED,7.43,0.1,0.10,2.59,85,1328,144,4.39,0.26,0.17,5.9,0.62,7.64,GROUND NUT,0.1614185225260388
126,130,Anantapur,Raptadu,Gandlaparthi,14.53,77.53,RED,8.68,0.62,0.32,10.64,29,2709,327,23.50,3.39,0.72,3.18,0.57,7.49,GROUND NUT,0.16063355940180868
127,131,Anantapur,Raptadu,Gandlaparthi,14.54,77.53,BLACK,6.65,0.06,0.44,1.38,140,962,204,3.11,0.21,0.48,8.1,0.24,17.1,PADDY,0.17841196190733272
128,132,Anantapur,Raptadu,Gandlaparthi,14.54,77.54,BLACK,8.21,0.08,0.21,6.15,28,1624,60,2.28,0.42,0.41,3.24,0.74,10.27,GROUND NUT,0.1864840315760533
129,133,Anantapur,Raptadu,Gandlaparthi,14.53,77.53,RED,7.0,0.13,0.57,1.71,131,709,130,6.88,0.61,0.40,7.93,0.25,16.82,GROUND NUT,0.16063355940180868
130,134,Anantapur,Raptadu,Gandlaparthi,14.53,77.54,RED,6.27,0.09,0.31,21.06,126,1046,157,2.84,0.59,0.33,22.67,1.74,22.35,GROUND NUT,0.1614185225260388
131,135,Anantapur,Raptadu,Gandlaparthi,14.54,77.54,BLACK,8.05,0.13,0.33,3.08,130,2723,322,3.33,0.32,0.62,6.56,0.91,8.96,TAMATO,0.1864840315760533
132,136,Anantapur,Raptadu,Gandlaparthi,14.53,77.54,RED,7.43,0.11,0.21,1.95,66,1057,103,8.03,0.32,0.47,3.71,0.45,12.29,GROUND NUT,0.1614185225260388
133,137,Anantapur,Raptadu,Gandlaparthi,14.54,77.54,RED,7.72,0.07,0.36,12.31,96,652,39,4.10,1.03,0.61,3.08,0.4,4.11,GROUND NUT,0.1864840315760533
134,138,Anantapur,Raptadu,Gandlaparthi,14.53,77.54,RED,8.25,0.08,0.38,6.87,129,2928,185,3.34,0.39,0.83,2.54,0.65,4.48,GROUND NUT,0.1614185225260388
135,139,Anantapur,Raptadu,Gandlaparthi,14.54,77.53,RED,6.85,0.07,0.15,2.25,85,726,92,3.64,0.31,0.31,8.11,0.71,16.43,GROUND NUT,0.17841196190733272
136,140,Anantapur,Raptadu,Gandlaparthi,14.53,77.54,RED,8.75,0.16,0.32,5.47,95,2308,156,3.09,0.6,0.61,11.08,0.6,10.71,GROUND NUT,0.1614185225260388
137,141,Anantapur,Raptadu,Gandlaparthi,14.53,77.54,RED,8.8,0.24,0.28,7.05,107,1443,294,10.11,1.63,0.85,4.83,0.66,11.55,GROUND NUT,0.1614185225260388
138,142,Anantapur,Raptadu,Gandlaparthi,14.53,77.53,BLACK,8.35,0.07,0.19,2.49,76,2449,37,1.42,0.17,0.48,2.01,0.52,2.95,TAMATO,0.16063355940180868
139,143,Anantapur,Raptadu,Gandlaparthi,14.53,77.53,RED,8.28,0.07,0.14,1.66,69,1977,83,1.47,0.19,0.50,1.61,0.55,2.95,GROUND NUT,0.16063355940180868
140,236,Chittoor,Santipuram,121.Pedduru,12.91,78.35,Red,7.25,0.23,0.27,47.2,123,718,222,15.08,1.94,0.53,6.61,0.69,19.54,Tomato,0.20535332678780555
