iter	Passed	Remaining
0	0	47
1	0	46
2	1	48
3	1	47
4	2	47
5	2	45
6	3	45
7	3	44
8	4	43
9	4	42
10	5	42
11	5	41
12	6	41
13	6	40
14	7	40
15	7	39
16	8	39
17	8	38
18	8	38
19	9	37
20	9	37
21	10	36
22	10	36
23	11	35
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	14	32
30	14	32
31	14	31
32	15	31
33	15	30
34	16	30
35	16	29
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	22	24
47	22	24
48	22	23
49	23	23
50	23	22
51	24	22
52	24	21
53	25	21
54	25	20
55	26	20
56	26	20
57	26	19
58	27	19
59	27	18
60	28	18
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	31	15
67	31	14
68	32	14
69	32	13
70	33	13
71	33	13
72	34	12
73	35	12
74	35	11
75	36	11
76	36	10
77	37	10
78	37	10
79	38	9
80	38	9
81	39	8
82	39	8
83	40	7
84	40	7
85	41	6
86	41	6
87	41	5
88	42	5
89	42	4
90	43	4
91	43	3
92	44	3
93	44	2
94	45	2
95	45	1
96	46	1
97	46	0
98	46	0
99	47	0
